name,department,gender,years_of_experience,position,num_publications,num_citations,salary
Nichole Meeter,Business and Management,female,3,Assistant Professor,33,6138,197312
Sharyn Hauger,Business and Management,female,30,Full Professor,91,15015,300000
Annie Sherburne,Business and Management,female,63,Full Professor,93,6789,254414
Vergie Coe,Business and Management,female,0,Assistant Professor,23,1449,136603
Courtney Johnson,Business and Management,female,53,Full Professor,95,17670,300000
Lynn Kitts,Business and Management,female,1,Assistant Professor,38,608,131677
Kayla Baoloy,Business and Management,female,9,Associate Professor,54,5238,187813
Gwen Moss,Business and Management,female,10,Associate Professor,59,8791,225647
Wendy Perez,Business and Management,female,18,Full Professor,93,1488,161936
Susan Nelson,Business and Management,female,54,Full Professor,78,2964,206709
Sarah Jones,Business and Management,female,6,Assistant Professor,39,5733,178272
Eliza Preston,Business and Management,female,61,Full Professor,96,14112,300000
Ashley Dodimead,Business and Management,female,1,Assistant Professor,21,315,123516
Christi Fitzgerald,Business and Management,female,12,Associate Professor,49,17297,300000
Lorraine Jones,Business and Management,female,30,Full Professor,73,4307,193196
Betty Coffey,Business and Management,female,3,Assistant Professor,12,564,143014
Lora Carter,Business and Management,female,25,Full Professor,99,2178,172589
Joan Pryor,Business and Management,female,3,Assistant Professor,16,3776,160211
Dann Blakey,Business and Management,female,17,Associate Professor,48,3312,181420
Mary Vanvalkenbur,Business and Management,female,12,Associate Professor,42,1680,150561
Stephanie Self,Business and Management,female,22,Full Professor,93,3627,184022
Marian Segrest,Business and Management,female,9,Associate Professor,49,10094,238701
Vickie Marshall,Business and Management,female,2,Assistant Professor,14,70,120476
Jaime Byrd,Business and Management,female,0,Assistant Professor,33,726,122330
Velma Snyder,Business and Management,female,7,Associate Professor,55,3740,172459
Mildred Toscano,Business and Management,female,5,Assistant Professor,30,240,132820
Rachel Gonzalez,Business and Management,female,10,Associate Professor,69,759,140941
Carmen Smith,Business and Management,female,38,Full Professor,90,990,185680
Valerie Lamphere,Business and Management,female,3,Assistant Professor,20,2300,149318
Barbara Caravello,Business and Management,female,23,Full Professor,74,1258,163637
Etta Hibbler,Business and Management,female,24,Full Professor,73,1241,168479
Effie Giddens,Business and Management,female,2,Assistant Professor,30,1410,133057
Melinda Woosley,Business and Management,female,15,Associate Professor,56,2184,158218
Maureen Hunt,Business and Management,female,10,Associate Professor,59,4484,174786
Linda Staschke,Business and Management,female,5,Assistant Professor,34,4522,178371
Cheryl Wiley,Business and Management,female,2,Assistant Professor,21,189,122941
Jan Wilkison,Business and Management,female,4,Assistant Professor,30,660,154155
Carl Watson,Business and Management,male,46,Full Professor,94,14288,300000
Donnie Quijano,Business and Management,male,13,Associate Professor,46,24840,300000
Salvatore Maio,Business and Management,male,11,Associate Professor,53,901,136949
Lester Munoz,Business and Management,male,61,Full Professor,71,16756,300000
Jerry Espinosa,Business and Management,male,54,Full Professor,89,18423,300000
William Jolivette,Business and Management,male,13,Associate Professor,50,3550,162477
Joseph Delapp,Business and Management,male,3,Assistant Professor,38,2394,144852
Robert Simpson,Business and Management,male,0,Assistant Professor,11,33,135188
James Wilson,Business and Management,male,4,Assistant Professor,28,812,132461
Larry Kaczor,Business and Management,male,56,Full Professor,70,5180,226810
Daniel Cunningham,Business and Management,male,1,Assistant Professor,24,1824,130909
Mickey Grant,Business and Management,male,11,Associate Professor,53,3021,159806
Carl Donovan,Business and Management,male,65,Full Professor,71,1065,191239
Erik Pedley,Business and Management,male,5,Assistant Professor,33,462,134094
Javier Fletcher,Business and Management,male,6,Assistant Professor,18,306,128956
John Robinette,Business and Management,male,10,Associate Professor,50,750,129831
John Kramer,Business and Management,male,46,Full Professor,93,2790,190265
James Villagomez,Business and Management,male,13,Associate Professor,49,2891,167190
Jack Boucher,Business and Management,male,17,Full Professor,87,26274,300000
Nathan Glover,Business and Management,male,3,Assistant Professor,38,8968,214600
Daniel Villanueva,Business and Management,male,16,Associate Professor,64,1856,150377
John Watts,Business and Management,male,14,Associate Professor,48,3072,161015
William Hernandez,Business and Management,male,6,Assistant Professor,10,3020,151636
Jesus Terry,Business and Management,male,36,Full Professor,75,4725,197078
Vincent Tate,Business and Management,male,17,Associate Professor,48,768,138877
Lowell Ramos,Business and Management,male,10,Associate Professor,52,1716,145554
Billie Seiber,Business and Management,male,13,Associate Professor,67,1139,133624
